used_car_id,listing_url,car_model,brand,color,fuel_type,price,depreciation_per_year,registration_date,coe_left,mileage,manufactured_year,road_tax_per_year,transmission,dereg_value,omv,coe_value,arf,engine_capacity_cc,power,curb_weight,no_of_owners,vehicle_type,scraped_datetime,posted_datetime,updated_datetime,active
1322197,https://www.sgcarmart.com/used_cars/info.php?ID=1322197&DL=3003,B.M.W. M3 CSL,B.M.W.,Grey,Petrol,450000.000000000,52920.000000000,2003-12-27,3099,69200,2003,4155.000000000,Auto,97931.000000000,123866.000000000,122414.000000000,161026.000000000,3246,261,1460,4,Sports Car,2025-04-01 11:36:29.442442,2025-02-11,2025-03-05,True
1329472,https://www.sgcarmart.com/used_cars/info.php?ID=1329472&DL=3800,FERRARI CSTRADALE360,FERRARI,Blue,Petrol,888000.000000000,102380.000000000,2003-12-12,3159,29000,2003,4953.000000000,Auto,110475.000000000,220263.000000000,138094.000000000,286342.000000000,3586,305,1290,2,Sports Car,2025-04-01 01:58:17.105366,2025-03-08,2025-03-08,True
1367766,https://www.sgcarmart.com/used_cars/info.php?ID=1367766&DL=4369,TOYOTA LEXUS IS 200,TOYOTA,Grey,Petrol,108888.000000000,13190.000000000,2003-09-20,3010,135000,2003,1800.000000000,Auto,93804.000000000,30485.000000000,117255.000000000,39631.000000000,1988,114,1440,2,Luxury Sedan,2025-03-31 16:27:37.511739,2025-03-21,2025-03-21,True
1226661,https://www.sgcarmart.com/used_cars/info.php?ID=1226661&DL=1079,BENTLEY CONTI GT,BENTLEY,White,Petrol,180800.000000000,20080.000000000,2004-05-03,3277,46000,2004,10611.000000000,Auto,84860.000000000,249670.000000000,106075.000000000,274637.000000000,5998,412,2410,6,Sports Car,2025-04-01 02:03:25.055446,2025-03-08,2025-03-08,True
1333164,https://www.sgcarmart.com/used_cars/info.php?ID=1333164&DL=3973,FERRARI 575MARANELLO,FERRARI,Red,Petrol,450000.000000000,48050.000000000,2004-08-11,3414,64700,2004,10026.000000000,Auto,81938.000000000,259435.000000000,102423.000000000,285379.000000000,5748,380,1825,4,Sports Car,2025-04-01 02:44:44.586252,2025-03-05,2025-03-05,True
1348007,https://www.sgcarmart.com/used_cars/info.php?ID=1348007&DL=2349,PORSCHE 911 GT3,PORSCHE,Silver,Petrol,528800.000000000,58930.000000000,2004-03-20,3265,12000,2004,4986.000000000,Manual,84860.000000000,153136.000000000,106075.000000000,199077.000000000,3600,280,1455,3,Sports Car,2025-04-01 00:11:30.678239,2025-03-15,2025-03-15,True
1348007,https://www.sgcarmart.com/used_cars/info.php?ID=1348007&DL=2349,PORSCHE 911 GT3,PORSCHE,Silver,Petrol,528800.000000000,58930.000000000,2004-03-20,3265,12000,2004,4986.000000000,Manual,84860.000000000,153136.000000000,106075.000000000,199077.000000000,3600,280,1455,3,Sports Car,2025-04-01 00:03:46.009045,2025-03-15,2025-03-15,True
1383683,https://www.sgcarmart.com/used_cars/info.php?ID=1383683&DL=4343,PORSCHE CAYENNE V6 A,PORSCHE,Grey,Petrol,110800.000000000,12190.000000000,2004-05-11,3315,63000,2004,4023.000000000,Auto,78450.000000000,74228.000000000,98062.000000000,81651.000000000,3189,184,2245,6,SUV,2025-03-31 03:02:05.907120,2025-03-26,2025-03-26,True
1362026,https://www.sgcarmart.com/used_cars/info.php?ID=1362026&DL=2387,PORSCHE 911S CAB TIP,PORSCHE,Yellow,Petrol,138000.000000000,191520.000000000,2005-12-21,258,76800,2005,5511.000000000,Auto,4309.000000000,140114.000000000,59798.000000000,154126.000000000,3824,261,1620,6,Sports Car,2025-04-01 04:07:49.271111,2025-02-24,2025-02-24,True
1374411,https://www.sgcarmart.com/used_cars/info.php?ID=1374411&DL=2021,PORSCHE CAYENNE V6 A,PORSCHE,Black,Petrol,20700.000000000,35980.000000000,2005-10-29,206,187000,2005,4023.000000000,Auto,3535.000000000,75248.000000000,61441.000000000,82773.000000000,3189,184,2245,6,SUV,2025-04-01 11:15:42.179113,2025-02-13,2025-02-28,True
1371389,https://www.sgcarmart.com/used_cars/info.php?ID=1371389&DL=1177,ROLLS ROYCE PHANTOM,ROLLS ROYCE,Black,Petrol,368000.000000000,37720.000000000,2005-01-12,3554,66052,2005,12375.000000000,Auto,87904.000000000,474540.000000000,109880.000000000,521994.000000000,6749,338,2485,2,Luxury Sedan,2025-04-01 20:20:40.624375,2025-01-28,2025-02-16,True
1100257,https://www.sgcarmart.com/used_cars/info.php?ID=1100257&DL=3116,ASTON MARTIN V8 VANTAGE,ASTON MARTIN,White,Petrol,88000.000000000,93100.000000000,2006-03-13,338,54000,2006,6588.000000000,Manual,4814.000000000,184224.000000000,50932.000000000,202647.000000000,4282,283,1570,5,Sports Car,2025-04-01 09:54:24.050522,2025-02-21,2025-03-30,True
1384572,https://www.sgcarmart.com/used_cars/info.php?ID=1384572&DL=4427,AUDI A3SB 2.0TFSI,AUDI,Grey,Petrol,19588.000000000,11210.000000000,2006-12-30,268,225000,2006,1791.000000000,Auto,9646.000000000,43945.000000000,55187.000000000,48340.000000000,1984,147,1410,4,Hatchback,2025-03-31 16:52:09.709347,2025-03-20,2025-03-20,True
1360980,https://www.sgcarmart.com/used_cars/info.php?ID=1360980&DL=3283,B.M.W. 325CIACABRIO,B.M.W.,Black,Petrol,18800.000000000,16180.000000000,2006-05-31,28,134000,2006,2688.000000000,Auto,5349.000000000,59470.000000000,46048.000000000,65417.000000000,2494,141,1530,4,Sports Car,2025-04-01 04:15:24.438228,2025-02-23,2025-03-24,True
1377112,https://www.sgcarmart.com/used_cars/info.php?ID=1377112&DL=3426,B.M.W. 330I SUNROOF,B.M.W.,Black,Petrol,16888.000000000,13490.000000000,2006-07-27,90,172000,2006,3573.000000000,Auto,6070.000000000,61743.000000000,48479.000000000,67918.000000000,2996,190,1525,5,Luxury Sedan,2025-03-30 23:14:55.036482,2025-03-29,2025-03-29,True
1385853,https://www.sgcarmart.com/used_cars/info.php?ID=1385853&DL=3582,B.M.W. 630 CI,B.M.W.,Silver,Petrol,19800.000000000,15850.000000000,2006-07-28,90,187000,2006,3573.000000000,Auto,6057.000000000,73734.000000000,48479.000000000,81108.000000000,2996,190,1580,5,Sports Car,2025-03-31 13:36:55.565182,2025-03-25,2025-03-28,True
1256207,https://www.sgcarmart.com/used_cars/info.php?ID=1256207&DL=1095,B.M.W. 730LI,B.M.W.,Black,Petrol,21888.000000000,13850.000000000,2006-10-31,208,75000,2006,3573.000000000,Auto,8971.000000000,84000.000000000,56751.000000000,92400.000000000,2996,190,1910,1,Luxury Sedan,2025-04-01 10:49:09.216991,2025-02-15,2025-03-11,True
1243153,https://www.sgcarmart.com/used_cars/info.php?ID=1243153&DL=1177,BENTLEY CONTI FS,BENTLEY,Silver,Petrol,29000.000000000,30500.000000000,2006-03-15,340,120400,2006,10611.000000000,Auto,4842.000000000,193037.000000000,50932.000000000,212341.000000000,5998,412,2525,6,Luxury Sedan,2025-04-01 10:40:43.370126,2025-02-16,2025-03-22,True
1334715,https://www.sgcarmart.com/used_cars/info.php?ID=1334715&DL=2726,BENTLEY CONTI FS,BENTLEY,Green,Petrol,36800.000000000,39980.000000000,2006-03-03,330,125000,2006,10611.000000000,Auto,4689.000000000,192662.000000000,50932.000000000,211929.000000000,5998,412,2525,6,Luxury Sedan,2025-03-31 13:49:20.882933,2025-03-25,2025-03-25,True
